Symbol,Security Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E Ratio,EPS(TTM),EPS Growth,Div Yield,Sector,Analyst Rating
DCGO,DocGo Inc.,1.34 USD,0.00%,709.72 K,0.25,132.8 M USD,—,−0.01 USD,−105.69%,0.00%,Health services,Buy
DCI,"Donaldson Company, Inc.",68.19 USD,−0.92%,317.66 K,0.76,8.15 B USD,19.93,3.42 USD,+11.65%,1.58%,Producer manufacturing,Neutral
DCO,Ducommun Incorporated,67.74 USD,+0.71%,61.21 K,0.87,1.01 B USD,29.04,2.33 USD,+95.99%,0.00%,Electronic technology,Strong buy
DCOM,"Dime Community Bancshares, Inc.",25.29 USD,+0.24%,157.37 K,0.78,1.11 B USD,39.81,0.64 USD,−64.24%,3.95%,Finance,Strong buy
DCTH,"Delcath Systems, Inc.",16.11 USD,−0.25%,551.92 K,0.91,561.05 M USD,—,−0.51 USD,+80.88%,0.00%,Health technology,Strong buy
DD,"DuPont de Nemours, Inc.",67.65 USD,−0.53%,1.75 M,0.55,28.31 B USD,—,−0.18 USD,−122.48%,2.29%,Process industries,Buy
DDC,DDC Enterprise Limited,3.81 USD,−12.04%,132 K,0.62,15.43 M USD,—,—,—,0.00%,Technology services,—
DDD,3D Systems Corporation,1.61 USD,−0.62%,3.15 M,0.60,219.62 M USD,—,−2.09 USD,+22.06%,0.00%,Technology services,Neutral
DDOG,"Datadog, Inc.",114.46 USD,−1.05%,2.89 M,0.67,39.53 B USD,247.96,0.46 USD,+42.12%,0.00%,Technology services,Buy
DDS,"Dillard's, Inc.",408.08 USD,−3.47%,141.51 K,0.91,6.41 B USD,11.28,36.17 USD,−17.83%,0.25%,Retail trade,Sell
DE,Deere & Company,510.06 USD,−1.08%,850.77 K,0.55,138.44 B USD,24.67,20.67 USD,−37.75%,1.21%,Producer manufacturing,Buy
DECK,Deckers Outdoor Corporation,101.05 USD,−19.86%,19.58 M,5.78,15.34 B USD,15.95,6.33 USD,+29.77%,0.00%,Consumer non-durables,Buy
DELL,Dell Technologies Inc.,112.11 USD,+0.14%,3.92 M,0.70,76.62 B USD,18.03,6.22 USD,+42.40%,1.66%,Electronic technology,Buy
DENN,Denny's Corporation,3.81 USD,+0.53%,520.47 K,0.70,195.27 M USD,11.59,0.33 USD,−24.04%,0.00%,Consumer services,Buy
DERM,Journey Medical Corporation,7.00 USD,+2.64%,64.67 K,0.53,163.07 M USD,—,−0.40 USD,−29.51%,0.00%,Health technology,Strong buy
DEVS,DevvStream Corp.,0.5108 USD,+29.55%,134.71 M,2.32,15.38 M USD,—,—,—,0.00%,Commercial services,—
DFDV,DeFi Development Corp.,34.25 USD,−19.41%,2.35 M,1.02,495.49 M USD,—,−0.26 USD,+51.43%,0.00%,Finance,—
DFH,"Dream Finders Homes, Inc.",20.98 USD,+0.82%,263.86 K,0.80,1.96 B USD,6.55,3.20 USD,+13.94%,0.00%,Consumer durables,Neutral
DFIN,"Donnelley Financial Solutions, Inc.",53.83 USD,−1.52%,232.49 K,1.05,1.49 B USD,17.81,3.02 USD,−7.73%,0.00%,Technology services,Strong buy
DFLI,Dragonfly Energy Holdings Corp,0.3949 USD,−2.16%,252.28 K,0.50,3.7 M USD,—,−5.32 USD,−9.46%,0.00%,Producer manufacturing,Strong buy
DG,Dollar General Corporation,101.39 USD,+0.75%,2.24 M,0.57,22.3 B USD,19.83,5.11 USD,−32.29%,2.33%,Retail trade,Buy
DGICA,"Donegal Group, Inc.",19.75 USD,−0.65%,82.06 K,0.58,695.93 M USD,9.66,2.04 USD,"+1,195.82%",3.49%,Finance,Neutral
DGII,Digi International Inc.,32.16 USD,−0.65%,173.5 K,1.07,1.19 B USD,28.45,1.13 USD,+198.55%,0.00%,Electronic technology,Buy
DGLY,"Digital Ally, Inc.",2.50 USD,−99.02%,2.28 M,2.85,4.17 M USD,—,"−5,855.52 USD",+65.07%,0.00%,Commercial services,—
DGNX,Diginex Limited,57.01 USD,−12.01%,87.32 K,1.56,1.31 B USD,—,−0.25 USD,—,0.00%,Technology services,—
DGX,Quest Diagnostics Incorporated,171.23 USD,+0.95%,1.03 M,0.74,19.12 B USD,21.64,7.91 USD,+6.47%,1.78%,Health services,Buy
DH,Definitive Healthcare Corp.,3.02 USD,−3.51%,441.06 K,0.46,441.94 M USD,—,−4.40 USD,−152.59%,0.00%,Technology services,Neutral
DHAI,"DIH Holding US, Inc.",0.2336 USD,+2.91%,240.25 K,0.29,11.06 M USD,—,−0.32 USD,—,0.00%,Health technology,—
DHI,"D.R. Horton, Inc.",118.65 USD,−0.21%,2.45 M,0.79,36.45 B USD,8.98,13.22 USD,−10.03%,1.18%,Consumer durables,Buy
DHIL,"Diamond Hill Investment Group, Inc.",138.02 USD,−0.91%,9.4 K,0.72,376.48 M USD,9.32,14.81 USD,+0.68%,4.35%,Finance,—
DHR,Danaher Corporation,184.54 USD,−1.57%,2.81 M,0.64,132.07 B USD,35.78,5.16 USD,−12.55%,0.61%,Health technology,Strong buy
DHT,"DHT Holdings, Inc.",11.69 USD,+3.18%,1.46 M,1.12,1.88 B USD,10.55,1.11 USD,+5.56%,8.13%,Transportation,Strong buy
DHX,"DHI Group, Inc.",1.93 USD,−3.02%,41.42 K,0.32,94.09 M USD,—,−0.17 USD,−593.49%,0.00%,Commercial services,Strong buy
DIBS,"1stdibs.com, Inc.",2.48 USD,+0.40%,165.8 K,1.33,88.5 M USD,—,−0.55 USD,−22.08%,0.00%,Retail trade,Buy
DIN,"Dine Brands Global, Inc. Common Stock",23.11 USD,+2.94%,322.82 K,0.66,361.11 M USD,6.40,3.61 USD,−35.73%,8.83%,Consumer services,Neutral
DINO,HF Sinclair Corporation,35.58 USD,+0.37%,1.62 M,0.65,6.7 B USD,—,−0.78 USD,−109.60%,5.62%,Energy minerals,Buy
DIOD,Diodes Incorporated,45.05 USD,−1.70%,379.78 K,0.64,2.09 B USD,81.82,0.55 USD,−85.02%,0.00%,Electronic technology,Neutral
DIS,Walt Disney Company (The),109.72 USD,−1.27%,8.09 M,0.74,197.25 B USD,22.41,4.90 USD,+430.46%,0.87%,Consumer services,Buy
DIST,Distoken Acquisition Corporation,12.00 USD,0.00%,120,0.02,38.4 M USD,—,−0.14 USD,−208.76%,0.00%,Finance,—
DIT,AMCON Distributing Company,116.00 USD,+2.88%,128,0.83,74.87 M USD,48.29,2.40 USD,−82.98%,0.62%,Distribution services,—
DJCO,Daily Journal Corp. (S.C.),417.27 USD,−4.19%,28.97 K,0.98,574.76 M USD,5.44,76.71 USD,+375.37%,0.00%,Consumer services,—
DJT,Trump Media & Technology Group Corp.,25.72 USD,+4.64%,4.09 M,1.39,5.67 B USD,—,−0.51 USD,+87.99%,0.00%,Commercial services,—
DK,"Delek US Holdings, Inc.",19.42 USD,−1.22%,1.5 M,0.72,1.18 B USD,—,−12.65 USD,−917.00%,5.23%,Energy minerals,Neutral
DKL,"Delek Logistics Partners, L.P.",42.11 USD,+2.48%,151.83 K,0.87,2.25 B USD,14.09,2.99 USD,+7.75%,10.37%,Industrial services,Buy
DKNG,DraftKings Inc.,35.08 USD,+0.60%,6.51 M,0.56,17.41 B USD,—,−0.82 USD,+30.40%,0.00%,Consumer services,Strong buy
DKS,Dick's Sporting Goods Inc,167.22 USD,−3.00%,1.84 M,0.63,13.39 B USD,11.90,14.05 USD,+15.51%,2.70%,Retail trade,Buy
DLB,Dolby Laboratories,74.67 USD,−1.19%,324.32 K,1.07,7.17 B USD,28.25,2.64 USD,+34.85%,1.69%,Technology services,Buy
DLHC,DLH Holdings Corp.,5.04 USD,+0.60%,26.84 K,0.46,72.51 M USD,13.46,0.37 USD,+90.05%,0.00%,Commercial services,Strong buy
DLNG,Dynagas LNG Partners LP,3.65 USD,+4.29%,67.95 K,1.52,133.74 M USD,2.78,1.31 USD,+34.80%,2.68%,Transportation,—
DLO,DLocal Limited,11.26 USD,−3.51%,648.74 K,0.44,3.21 B USD,—,—,—,0.00%,Technology services,Buy
DLPN,"Dolphin Entertainment, Inc.",1.08 USD,−0.92%,16.54 K,0.42,12.06 M USD,—,−2.14 USD,+27.44%,0.00%,Commercial services,Strong buy
DLTH,Duluth Holdings Inc.,1.84 USD,−7.07%,15.16 K,0.37,66.23 M USD,—,−1.37 USD,−381.92%,0.00%,Retail trade,Neutral
DLTR,"Dollar Tree, Inc.",88.17 USD,−2.00%,2.46 M,0.68,18.53 B USD,—,−14.11 USD,−205.21%,0.00%,Retail trade,Buy
DLX,Deluxe Corporation,13.64 USD,−2.29%,375.99 K,1.14,610.25 M USD,10.94,1.25 USD,+61.38%,8.80%,Commercial services,Buy
DMAA,Drugs Made In America Acquisition Corp.,10.13 USD,0.00%,105.24 K,2.95,236.06 M USD,359.22,0.03 USD,—,0.00%,Finance,—
DMAC,DiaMedica Therapeutics Inc.,4.06 USD,+0.25%,80.8 K,0.69,174.11 M USD,—,−0.65 USD,−16.66%,0.00%,Health technology,Strong buy
DMLP,"Dorchester Minerals, L.P.",27.62 USD,−1.39%,174.37 K,2.44,1.31 B USD,13.20,2.09 USD,−18.66%,11.65%,Miscellaneous,—
DMRC,Digimarc Corporation,12.45 USD,−1.19%,166.87 K,1.07,268.32 M USD,—,−1.88 USD,+9.27%,0.00%,Technology services,Buy
DMYY,"dMY Squared Technology Group, Inc.",14.93 USD,+5.36%,135.63 K,1.36,58.5 M USD,—,−1.33 USD,−828.16%,0.00%,Finance,—
DNA,"Ginkgo Bioworks Holdings, Inc.",6.99 USD,+2.04%,1.03 M,1.02,409.14 M USD,—,−8.99 USD,+48.32%,0.00%,Health services,Sell
DNB,"Dun & Bradstreet Holdings, Inc.",8.99 USD,0.00%,5.95 M,0.75,4.01 B USD,—,−0.05 USD,+42.15%,2.22%,Technology services,Neutral
DNLI,Denali Therapeutics Inc.,13.42 USD,−1.76%,786.28 K,0.69,1.95 B USD,—,−2.67 USD,−176.38%,0.00%,Health technology,Strong buy
DNOW,DNOW Inc.,14.56 USD,−0.21%,526.9 K,0.60,1.54 B USD,19.49,0.75 USD,−65.59%,0.00%,Distribution services,Buy
DNTH,"Dianthus Therapeutics, Inc.",18.43 USD,+0.35%,234.99 K,0.89,592.55 M USD,—,−2.89 USD,+51.03%,0.00%,Health technology,Strong buy
DNUT,"Krispy Kreme, Inc.",2.91 USD,−1.36%,2.77 M,0.32,497.03 M USD,—,−0.13 USD,+52.91%,4.81%,Distribution services,Neutral
DOCN,"DigitalOcean Holdings, Inc.",27.99 USD,−3.91%,1.57 M,1.16,2.55 B USD,25.63,1.09 USD,+110.97%,0.00%,Technology services,Buy
DOCS,"Doximity, Inc.",51.02 USD,−0.47%,1.43 M,0.27,9.58 B USD,46.07,1.11 USD,+53.52%,0.00%,Technology services,Buy
DOCU,"DocuSign, Inc.",84.61 USD,−2.22%,1.34 M,0.79,17.13 B USD,16.55,5.11 USD,"+1,338.08%",0.00%,Technology services,Neutral
DOGZ,Dogness (International) Corporation,21.95 USD,−1.79%,401.35 K,1.24,279.44 M USD,—,−0.40 USD,+2.75%,0.00%,Consumer non-durables,—
DOLE,Dole plc,13.99 USD,+0.58%,510.16 K,0.51,1.33 B USD,14.19,0.99 USD,−49.93%,2.29%,Distribution services,Buy
DOMH,Dominari Holdings Inc.,4.60 USD,−2.95%,210 K,0.43,67.36 M USD,—,−4.54 USD,−0.15%,0.00%,Finance,—
DOMO,"Domo, Inc.",11.35 USD,+4.61%,1.53 M,2.11,456.32 M USD,—,−1.90 USD,+9.83%,0.00%,Technology services,Buy
DORM,"Dorman Products, Inc.",125.06 USD,−0.90%,113.61 K,0.64,3.82 B USD,17.97,6.96 USD,+40.07%,0.00%,Consumer durables,Buy
DOUG,Douglas Elliman Inc.,2.90 USD,+35.51%,14.35 M,16.96,257.34 M USD,—,−0.48 USD,+38.70%,0.00%,Finance,—
DOV,Dover Corporation,177.89 USD,−1.09%,1.17 M,1.23,24.39 B USD,10.72,16.60 USD,+59.44%,1.16%,Producer manufacturing,Buy
DOW,Dow Inc.,28.32 USD,−1.22%,7.1 M,0.95,20.02 B USD,70.78,0.40 USD,−76.14%,9.89%,Process industries,Neutral
DOX,Amdocs Limited,91.36 USD,−0.28%,690.09 K,1.41,10.16 B USD,19.12,4.78 USD,+7.29%,2.15%,Technology services,Buy
DPZ,Domino's Pizza Inc,480.43 USD,−0.38%,352.29 K,0.77,16.45 B USD,27.54,17.44 USD,+13.91%,1.31%,Consumer services,Buy
DRCT,"Direct Digital Holdings, Inc.",0.4703 USD,+4.30%,302.44 K,0.41,8.89 M USD,—,−1.76 USD,"−19,665.56%",0.00%,Commercial services,Buy
DRDB,Roman DBDR Acquisition Corp. II,10.22 USD,+0.10%,1.33 K,0.01,313.41 M USD,—,—,—,0.00%,Finance,—
DRI,"Darden Restaurants, Inc.",204.02 USD,+0.07%,901.56 K,0.40,23.88 B USD,23.02,8.86 USD,+3.90%,2.74%,Consumer services,Buy
DRIO,DarioHealth Corp.,0.7196 USD,+0.22%,94.06 K,0.55,31.99 M USD,—,−0.88 USD,+48.56%,0.00%,Health technology,Buy
DRMA,"Dermata Therapeutics, Inc.",0.7440 USD,−3.13%,31.58 K,0.49,4.75 M USD,—,−7.92 USD,+75.79%,0.00%,Health technology,Strong buy
DRRX,DURECT Corporation,0.5440 USD,0.00%,31.92 K,0.11,16.89 M USD,—,−0.51 USD,+48.73%,0.00%,Health technology,Buy
DRS,"Leonardo DRS, Inc.",41.04 USD,+0.79%,951.24 K,1.06,10.92 B USD,47.07,0.87 USD,+25.00%,0.22%,Electronic technology,Buy
DRTS,Alpha Tau Medical Ltd.,3.00 USD,0.00%,48.03 K,0.73,253.47 M USD,—,−0.46 USD,−11.19%,0.00%,Health technology,Strong buy
DRVN,Driven Brands Holdings Inc.,17.22 USD,−2.44%,625.72 K,1.19,2.83 B USD,—,−1.81 USD,+61.14%,0.00%,Consumer services,Buy
DSGN,"Design Therapeutics, Inc.",3.81 USD,−1.55%,184.75 K,2.00,216.29 M USD,—,−0.99 USD,+5.16%,0.00%,Health technology,Buy
DSGR,"Distribution Solutions Group, Inc.",26.88 USD,−0.44%,81.59 K,1.05,1.25 B USD,"1,669.57",0.02 USD,—,0.00%,Distribution services,Buy
DSP,Viant Technology Inc.,13.48 USD,−2.74%,143.1 K,0.63,843.4 M USD,447.84,0.03 USD,—,0.00%,Technology services,Strong buy
DSS,"DSS, Inc.",0.9000 USD,−1.96%,14.32 K,1.12,8.18 M USD,—,−6.63 USD,+42.21%,0.00%,Commercial services,—
DSWL,"Deswell Industries, Inc.",2.32 USD,−0.85%,2.98 K,0.08,36.97 M USD,3.58,0.65 USD,+67.65%,8.62%,Producer manufacturing,—
DSX,Diana Shipping inc.,1.43 USD,−4.67%,350.21 K,1.51,165.55 M USD,23.79,0.06 USD,−86.26%,11.89%,Transportation,Buy
DSY,Big Tree Cloud Holdings Limited,1.34 USD,−4.60%,6.83 K,0.17,6.7 M USD,—,—,—,0.00%,Miscellaneous,—
DT,"Dynatrace, Inc.",53.27 USD,−1.70%,2.15 M,0.62,15.96 B USD,33.39,1.60 USD,+208.07%,0.00%,Technology services,Buy
DTCK,Davis Commodities Limited,0.5350 USD,−6.14%,3.91 K,0.21,13.11 M USD,—,−0.11 USD,−398.63%,0.00%,Distribution services,—
DTE,DTE Energy Company,136.32 USD,+1.26%,1.07 M,0.67,28.29 B USD,18.41,7.40 USD,+21.08%,3.10%,Utilities,Buy
DTI,Drilling Tools International Corporation,2.63 USD,+4.37%,30.81 K,0.53,93.61 M USD,—,−0.05 USD,−111.39%,0.00%,Finance,Neutral
DTIL,"Precision BioSciences, Inc.",4.58 USD,−1.29%,29.03 K,0.34,50.78 M USD,—,−2.01 USD,+79.43%,0.00%,Health technology,Strong buy
DTM,"DT Midstream, Inc.",104.07 USD,+1.94%,633.01 K,0.90,10.57 B USD,28.46,3.66 USD,−10.99%,2.91%,Industrial services,Buy
DTSQ,DT Cloud Star Acquisition Corporation,10.30 USD,−0.19%,976,0.03,91.68 M USD,49.98,0.21 USD,—,0.00%,Finance,—
DTSS,Datasea Inc.,2.21 USD,−3.91%,94.19 K,0.16,16.92 M USD,—,−2.38 USD,−28.86%,0.00%,Electronic technology,—
DTST,Data Storage Corporation,3.74 USD,−0.80%,18.79 K,0.33,26.7 M USD,144.96,0.03 USD,−72.93%,0.00%,Technology services,Strong buy
DUK,Duke Energy Corporation (Holding Company),116.49 USD,+0.80%,2.68 M,0.64,90.54 B USD,19.43,6.00 USD,+45.03%,3.57%,Utilities,Buy
DUO,Fangdd Network Group Ltd.,0.2294 USD,−0.99%,1.83 M,0.12,8.2 M USD,4.37,0.05 USD,—,0.00%,Technology services,—
DUOL,"Duolingo, Inc.",520.21 USD,+0.47%,459.66 K,0.61,23.65 B USD,259.82,2.00 USD,+109.48%,0.00%,Technology services,Buy
DUOT,"Duos Technologies Group, Inc.",8.46 USD,+17.83%,214.79 K,1.51,98.59 M USD,—,−1.20 USD,+26.30%,0.00%,Technology services,Strong buy
DV,"DoubleVerify Holdings, Inc.",13.13 USD,−4.51%,1.96 M,0.67,2.13 B USD,44.27,0.30 USD,−22.13%,0.00%,Technology services,Buy
DVA,DaVita Inc.,138.19 USD,−0.24%,605.5 K,0.63,10.43 B USD,13.68,10.10 USD,+14.73%,0.00%,Health services,Neutral
DVAX,Dynavax Technologies Corporation,9.80 USD,−0.20%,1.35 M,0.60,1.18 B USD,—,−0.53 USD,"−1,077.59%",0.00%,Health technology,Buy
DVLT,Datavault AI Inc.,0.8788 USD,−4.57%,713.94 K,0.68,59.05 M USD,—,−13.74 USD,+96.46%,0.00%,Electronic technology,Neutral
DVN,Devon Energy Corporation,31.16 USD,+0.06%,7.04 M,1.03,20.01 B USD,7.09,4.39 USD,−16.26%,4.01%,Energy minerals,Buy
DWSN,Dawson Geophysical Company,1.30 USD,+3.17%,4.79 K,0.88,40.28 M USD,—,−0.29 USD,−14.13%,0.00%,Technology services,—
DWTX,"Dogwood Therapeutics, Inc.",5.24 USD,−1.13%,66.81 K,0.47,10.01 M USD,—,−17.94 USD,−168.49%,0.00%,Health technology,Strong buy
DXC,DXC Technology Company,14.75 USD,−2.77%,1.43 M,0.64,2.67 B USD,7.00,2.11 USD,+478.77%,0.00%,Technology services,Neutral
DXCM,"DexCom, Inc.",84.51 USD,−0.38%,2.6 M,0.80,33.14 B USD,63.44,1.33 USD,−14.00%,0.00%,Health technology,Buy
DXLG,"Destination XL Group, Inc.",1.09 USD,+3.81%,341.26 K,2.60,58.34 M USD,24.17,0.05 USD,−89.51%,0.00%,Retail trade,Buy
DXPE,"DXP Enterprises, Inc.",84.02 USD,+0.50%,60.35 K,0.60,1.32 B USD,17.48,4.81 USD,+33.81%,0.00%,Distribution services,Strong buy
DXST,Decent Holding Inc.,1.20 USD,−1.64%,10.18 K,0.26,18 M USD,9.27,0.13 USD,—,0.00%,Industrial services,—
DY,"Dycom Industries, Inc.",225.20 USD,+0.44%,793.24 K,1.52,6.51 B USD,28.56,7.89 USD,+1.63%,0.00%,Industrial services,Strong buy
DYAI,"Dyadic International, Inc.",0.9958 USD,−5.16%,26.17 K,0.75,29.96 M USD,—,−0.20 USD,+27.86%,0.00%,Health services,—
DYCQ,DT Cloud Acquisition Corporation,10.67 USD,−1.11%,729,0.20,72.21 M USD,35.66,0.30 USD,—,0.00%,Finance,—
DYN,"Dyne Therapeutics, Inc.",11.69 USD,−1.76%,1.47 M,0.62,1.33 B USD,—,−3.59 USD,+9.44%,0.00%,Health technology,Strong buy
DYNX,Dynamix Corporation,10.05 USD,0.00%,23.15 K,0.88,256.61 M USD,—,—,—,0.00%,Finance,—
EA,Electronic Arts Inc.,146.89 USD,+0.18%,2.11 M,0.62,36.84 B USD,34.67,4.24 USD,−9.44%,0.52%,Technology services,Buy
EAF,GrafTech International Ltd.,1.04 USD,+8.25%,3.04 M,1.23,268.44 M USD,—,−0.54 USD,+50.05%,0.00%,Producer manufacturing,Neutral
EAT,"Brinker International, Inc.",154.53 USD,+3.71%,1.46 M,1.18,6.87 B USD,21.32,7.25 USD,+115.06%,0.00%,Consumer services,Neutral
EB,"Eventbrite, Inc.",2.25 USD,−0.88%,636.93 K,0.71,215.75 M USD,—,−0.19 USD,−2.19%,0.00%,Technology services,Neutral
EBAY,eBay Inc.,71.92 USD,−0.32%,3.56 M,0.74,33.14 B USD,17.19,4.18 USD,−16.41%,1.53%,Retail trade,Neutral
EBC,"Eastern Bankshares, Inc.",14.78 USD,−0.67%,728.9 K,0.65,3.12 B USD,—,−0.66 USD,−123.05%,3.11%,Finance,Buy
EBF,"Ennis, Inc.",18.63 USD,−0.53%,128.06 K,0.83,485.37 M USD,12.10,1.54 USD,−5.97%,5.37%,Commercial services,Strong buy
EBMT,"Eagle Bancorp Montana, Inc.",16.75 USD,−1.62%,28.63 K,0.66,133.2 M USD,11.82,1.42 USD,+26.94%,3.39%,Finance,Neutral
EBON,Ebang International Holdings Inc.,3.80 USD,−3.91%,11.32 K,0.78,24.84 M USD,—,−3.22 USD,+44.93%,0.00%,Electronic technology,—
EBS,Emergent BioSolutions Inc.,6.40 USD,−1.54%,1.18 M,0.78,347.38 M USD,—,−2.71 USD,+75.43%,0.00%,Health technology,Buy
EBTC,Enterprise Bancorp Inc,38.19 USD,−0.52%,13.68 K,0.46,477.7 M USD,11.69,3.27 USD,+11.97%,2.54%,Finance,—
ECBK,"ECB Bancorp, Inc.",16.28 USD,−0.79%,11.02 K,0.69,146.97 M USD,29.13,0.56 USD,+13.21%,0.00%,Finance,—
ECDA,"ECD Automotive Design, Inc.",0.2530 USD,+0.76%,41.37 K,0.07,8.95 M USD,—,−0.28 USD,−162.60%,0.00%,Producer manufacturing,Strong buy
ECG,"Everus Construction Group, Inc.",56.70 USD,−1.20%,365.48 K,0.35,2.89 B USD,19.04,2.98 USD,+8.91%,0.00%,Industrial services,Buy
ECL,Ecolab Inc.,261.10 USD,+0.55%,796.05 K,0.70,74.03 B USD,35.52,7.35 USD,+36.07%,0.93%,Process industries,Buy
ECO,Okeanis Eco Tankers Corp.,23.45 USD,+3.95%,104.13 K,0.85,742.9 M USD,9.45,2.48 USD,−40.93%,12.79%,Transportation,Strong buy
ECOR,"electroCore, Inc.",4.97 USD,−1.00%,77.32 K,0.41,36.88 M USD,—,−1.64 USD,+42.59%,0.00%,Health technology,Strong buy
ECPG,Encore Capital Group Inc,38.17 USD,−1.65%,181.47 K,0.74,891.24 M USD,—,−4.90 USD,+42.86%,0.00%,Finance,Strong buy
ECVT,Ecovyst Inc.,7.30 USD,−1.22%,2.17 M,1.95,857.02 M USD,—,−0.10 USD,−116.04%,0.00%,Process industries,Strong buy
ECX,ECARX Holdings Inc.,1.52 USD,−4.40%,1.53 M,0.48,568.07 M USD,—,−0.35 USD,+17.48%,0.00%,Technology services,Strong buy
ED,"Consolidated Edison, Inc.",104.10 USD,+0.66%,2.12 M,0.72,37.51 B USD,19.22,5.42 USD,+3.97%,3.21%,Utilities,Neutral
EDBL,Edible Garden AG Incorporated,3.82 USD,−2.30%,3.46 M,0.17,6.32 M USD,—,−59.48 USD,+94.96%,0.00%,Process industries,Strong buy
EDHL,Everbright Digital Holding Limited,4.19 USD,+2.44%,24.65 K,0.37,—,—,—,—,—,Commercial services,—
EDIT,"Editas Medicine, Inc.",1.55 USD,−4.32%,952.67 K,0.48,129.75 M USD,—,−3.04 USD,−44.70%,0.00%,Health technology,Neutral
EDRY,EuroDry Ltd.,8.63 USD,−3.36%,3.69 K,1.82,24.39 M USD,—,−3.53 USD,−238.08%,0.00%,Transportation,Buy
EDSA,"Edesa Biotech, Inc.",1.96 USD,−2.49%,13.01 K,0.64,13.76 M USD,—,−1.60 USD,−23.23%,0.00%,Health technology,Strong buy
EDTK,Skillful Craftsman Education Technology Limited,0.9510 USD,−0.11%,13.41 K,1.36,15.15 M USD,—,−0.47 USD,+61.89%,0.00%,Commercial services,—
EDUC,Educational Development Corporation,1.35 USD,+1.03%,7.9 K,0.47,11.59 M USD,—,−0.63 USD,"−1,052.42%",0.00%,Consumer services,—
EE,"Excelerate Energy, Inc.",28.93 USD,+1.58%,272.27 K,0.68,3.3 B USD,35.12,0.82 USD,+11.60%,0.59%,Utilities,Buy
EEFT,"Euronet Worldwide, Inc.",105.13 USD,−0.97%,305.33 K,0.77,4.55 B USD,15.53,6.77 USD,+19.56%,0.00%,Commercial services,Buy
EEIQ,EpicQuest Education Group International Limited,0.6316 USD,−3.87%,12.93 K,1.38,8.28 M USD,—,−0.47 USD,+18.30%,0.00%,Commercial services,—
EEX,"Emerald Holding, Inc.",4.48 USD,+0.45%,54.54 K,0.68,890.89 M USD,278.26,0.02 USD,—,1.00%,Commercial services,Strong buy
EFOI,"Energy Focus, Inc.",2.03 USD,−0.52%,14 K,1.13,10.89 M USD,—,−0.29 USD,+70.80%,0.00%,Producer manufacturing,—
EFSC,Enterprise Financial Services Corporation,52.58 USD,−0.23%,119.26 K,0.68,1.94 B USD,10.30,5.10 USD,+9.50%,2.09%,Finance,Strong buy
EFSI,Eagle Financial Services Inc,31.00 USD,−0.26%,16.02 K,1.16,166.73 M USD,14.93,2.08 USD,−21.25%,3.94%,Finance,Strong buy
EFX,"Equifax, Inc.",262.19 USD,−0.46%,660.18 K,0.66,32.56 B USD,53.54,4.90 USD,+9.02%,0.59%,Commercial services,Buy
EG,"Everest Group, Ltd.",335.94 USD,−0.11%,421.51 K,0.92,14.29 B USD,16.94,19.83 USD,−70.56%,2.38%,Finance,Buy
EGAN,eGain Corporation,5.53 USD,−1.25%,50.44 K,1.01,151.25 M USD,56.78,0.10 USD,−64.80%,0.00%,Technology services,Buy
EGBN,"Eagle Bancorp, Inc.",17.47 USD,−0.34%,209.8 K,1.01,530.69 M USD,—,−1.50 USD,−159.38%,4.46%,Finance,Neutral
EGHT,8x8 Inc,1.59 USD,−4.79%,839.91 K,0.41,213.82 M USD,—,−0.21 USD,+61.76%,0.00%,Technology services,Neutral
EGY,"VAALCO Energy, Inc.",3.21 USD,−1.53%,1.07 M,1.13,333.26 M USD,5.77,0.56 USD,−8.32%,7.79%,Energy minerals,Strong buy
EHAB,"Enhabit, Inc.",10.22 USD,−0.39%,209.37 K,0.41,517.51 M USD,—,−2.77 USD,−65.96%,0.00%,Health services,Neutral
EHC,Encompass Health Corporation,118.90 USD,+0.24%,388.16 K,0.53,11.98 B USD,24.55,4.84 USD,+30.60%,0.56%,Health services,Strong buy
EHGO,Eshallgo Inc.,1.10 USD,−3.94%,12.77 K,2.03,29.11 M USD,—,−0.16 USD,−761.76%,0.00%,Distribution services,—
EHLD,Euroholdings Ltd.,5.99 USD,+1.53%,17.49 K,1.17,16.89 M USD,4.48,1.34 USD,—,0.00%,Transportation,—
EHTH,"eHealth, Inc.",4.35 USD,−2.90%,255.89 K,0.86,131.92 M USD,—,−0.69 USD,+71.22%,0.00%,Finance,Neutral
EIG,Employers Holdings Inc,48.70 USD,+0.68%,165.89 K,1.15,1.17 B USD,11.80,4.13 USD,−12.43%,2.46%,Finance,Neutral
EIX,Edison International,56.64 USD,+0.75%,1.57 M,0.68,21.79 B USD,8.04,7.05 USD,+209.75%,5.68%,Utilities,Buy
EJH,E-Home Household Service Holdings Limited,0.1010 USD,+15.96%,171.67 M,26.04,18.55 M USD,—,−7.90 USD,+42.06%,0.00%,Consumer services,—
EKSO,"Ekso Bionics Holdings, Inc.",0.2798 USD,+0.43%,863.32 K,0.07,9.87 M USD,—,−0.49 USD,+49.72%,0.00%,Health technology,Strong buy
EL,"Estee Lauder Companies, Inc. (The)",63.69 USD,−1.13%,2.54 M,0.69,22.91 B USD,—,−2.42 USD,−236.28%,3.17%,Consumer non-durables,Neutral
